GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Model,com.mycompany.sudoku,DifficultyLevel,0,34,0,0,0,4,0,1,0,1
Model,com.mycompany.sudoku,SudokuColumn,0,3,0,0,0,1,0,1,0,1
Model,com.mycompany.sudoku,FileSudokuBoardDao,64,0,0,0,21,0,4,0,4,0
Model,com.mycompany.sudoku,SudokuSegment,27,162,4,20,7,35,4,17,1,8
Model,com.mycompany.sudoku,SudokuBoardDaoFactory,10,0,0,0,3,0,2,0,2,0
Model,com.mycompany.sudoku,SudokuBox,0,3,0,0,0,1,0,1,0,1
Model,com.mycompany.sudoku,SudokuBoard,18,425,6,44,9,83,8,35,2,15
Model,com.mycompany.sudoku,SudokuRow,0,3,0,0,0,1,0,1,0,1
Model,com.mycompany.sudoku,BacktrackingSudokuSolver,0,95,0,14,0,24,0,9,0,2
Model,com.mycompany.sudoku,SudokuField,10,55,2,4,3,13,3,8,1,7
